FullName,NOM,PRENOM,ADRESSE,CODE_POSTAL,LOCALITE,GOUVERNORAT,SPECIALITE,CATEGORIE_PRESTATAIRE,APC,NameAr,Delegations_Name,Delegations_NameAr,Delegations_Value,Delegations_Latitude,Delegations_Longitude
DHOHA DERBEL,DERBEL,DHOHA,Rue de Lybie,1250,SBEITLA,KASSERINE,MEDECIN DENTISTE,CABINET DE CHIRURGIE DENTAIRE,NON,نابل,SBEITLA (El Garaa),سبيطلة (الڨرعة),SBEITLA,35.2372,9.1256
CHALLOUF GHATTAS,GHATTAS,CHALLOUF,20 RUE OUTIK ZOUILA,5100,MAHDIA,MAHDIA,GYNECOLOGIE-OBSTETRIQUE,OFFICINE DE JOUR,NON,نابل,MAHDIA (Cite Afh),المهدية (حي الوكالة العقارية للسكنى),MAHDIA,35.5044,11.0567
RABIAA BEN JEBARA,BEN JEBARA,RABIAA,113 AV H BOURGUIBA,8000,NABEUL,NABEUL,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,أريانة,NABEUL (Ain Kemicha),نابل (عين كميشة),NABEUL,36.4561,10.7358
RAHIBA DITE RABIA CHELLOUF,CHELLOUF,RAHIBA DITE RABIA,AV. DES MARTYRS IMM. LES GALERIES 1ER ETAFE   ESC.15,3027,SFAX JADIDA,SFAX,PHYSIOTHERAPIE,LABORATOIRE D'ANALYSES,NON,مدنين,SFAX VILLE (Sfax El Jadida),صفاقس المدينة (صفاقس الجديدة),SFAX VILLE,34.7406,10.76
laifi SOMAALI,SOMAALI,laifi,"52 CENTRE MEDICAL ""HERMES"" AVENUE HABIB BOURGUIBA",8030,GROMBALIA,NABEUL,O.R.L.,CABINET MEDICAL INDIVIDUEL,NON,زغوان,GROMBALIA (Batrou),قرمبالية (بطرو),GROMBALIA,36.6,10.5
TAHEUR zghal ep sellami,zghal ep sellami,TAHEUR,AVENUE HABIB BOURGUIBA N°45,7000,BIZERTE,BIZERTE,PHYSIOTHERAPIE,CABINET DE KINESITHERAPIE,NON,بن عروس,BIZERTE NORD (Bizerte),بنزرت الشمالية (بنزرت),BIZERTE NORD,37.2744,9.8739
FADI ATAOUI,ATAOUI,FADI,AVENUE IBN EL JAZZAR RUE OTHMAN IBN AFFAN,5020,JEMMAL,MONASTIR,BIOLOGIE CLINIQUE,CABINET DE KINESITHERAPIE,NON,قبلي,JEMMAL (Cite Commerciale 1),جمال (الحي التجاري 1),JEMMAL,35.6,10.75
ABDELWAHED TROJJET AOUINA,TROJJET AOUINA,ABDELWAHED,CITE  JARDIN 2 CENTRE MEDICAL EL BASSATINE  1ER  ETAGE APPT 12,3000,SFAX B DIWAN,SFAX,BIOCHIMIE,CABINET MEDICAL INDIVIDUEL,NON,قفصة,SFAX VILLE (Ain Charfi),صفاقس المدينة (عين الشرفي),SFAX VILLE,34.7406,10.76
MED AMINE LAARIFI,LAARIFI,MED AMINE,75 AV SALAMBO CABINET N°2,2050,HAMMAM-LIF,BEN AROUS,GASTRO-ENTEROLOGIE,CABINET MEDICAL INDIVIDUEL,NON,المنستير,HAMMAM LIF (Cite Des Ouvriers),حمام الأنف (حي العمال),HAMMAM LIF,36.728,10.336
FAEHAT MOSAHEB,MOSAHEB,FAEHAT,HOPITAL DE MOULARES,2110,MOULARES,GAFSA,HEMATOLOGIE BIOLOGIQUE,CABINET MEDICAL INDIVIDUEL,NON,الكاف,MOULARES (Cite De La Fraternite),أم العرائس (حي الإخاء),MOULARES,34.49,8.27
AHLEM SBAI,SBAI,AHLEM,ROUTE MZL CHAKER IMM BEN MESSAOUD,3010,EL HANCHA,SFAX,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,توزر,EL HENCHA (El Helalfa),الحنشة (الحلالفة),EL HENCHA,35.1667,10.6167
JANINE FRANCOISE CHAMEKH,CHAMEKH,JANINE FRANCOISE,56 AVENIE DELA LIBERTE,9000,BEJà VILLE,BEJA,PEDIATRIE,CABINET MEDICAL INDIVIDUEL,NON,صفاقس,BEJA NORD (Cite Pont Trageon),باجة الشمالية (حي جسر طراجيون),BEJA NORD,36.7256,9.1817
AHMED RIDHA HAJ HAMIDA,HAJ HAMIDA,AHMED RIDHA,CITE ENNOUR,1200,KASSERINE,KASSERINE,MEDECIN DENTISTE,LABORATOIRE D'ANALYSES,NON,سوسة,KASSERINE NORD (Doughra),القصرين الشمالية (الدغرة),KASSERINE NORD,35.1711,8.8325
MOHAMED CHAKIB CHAMKHI,CHAMKHI,MOHAMED CHAKIB,"83, Av. Habib Bourguiba",2040,RADèS VILLE,BEN AROUS,PHARMACIEN D'OFFICINE DE JOUR,APC,APC,باجة,RADES (Chouchet Rades),رادس (شوشة رادس),RADES,36.805,10.295
BAYA MAKHTOUM,MAKHTOUM,BAYA,AVE HABIB BOURGUIBA,4040,SIDI BOU ALI,SOUSSE,MEDECINE GENERALE,OFFICINE DE JOUR,NON,باجة,SIDI BOU ALI (Cite El Bassatine),سيدي بوعلي (حي البساتين),SIDI BOU ALI,35.9833,10.4667
RAJA GUITOUNI,GUITOUNI,RAJA,AV. HEDI CHAKER GROMBAALIA,8030,GROMBALIA,NABEUL,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,باجة,GROMBALIA (Batrou),قرمبالية (بطرو),GROMBALIA,36.6,10.5
ATAA KHORCHANI,KHORCHANI,ATAA,18 RUE ALI ZOUAOUI,3130,HAFFOUZ,KAIROUAN,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,زغوان,HAFFOUZ (Ain El Ghrab),حفوز (عين الغراب),HAFFOUZ,35.6378,9.6772
JIHEN BORGI,BORGI,JIHEN,242 AVN HABIB BOURGUIBA,2015,LE KRAM,TUNIS,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,القيروان,EL KRAM (Erriadh),الكرم (الرياض),EL KRAM,36.85,10.3
FADIA ZARGNI,ZARGNI,FADIA,RT  MAHDIA  KM2  N 82  BUSTEN,3000,SFAX B DIWAN,SFAX,OPHTALMOLOGIE,CABINET MEDICAL INDIVIDUEL,NON,جندوبة,SFAX VILLE (Ain Charfi),صفاقس المدينة (عين الشرفي),SFAX VILLE,34.7406,10.76
NIHED ELKLAHCHI,ELKLAHCHI,NIHED,"2 EME ETAGE IMMEUBLE ""EL AID GHARBI"", AVENUE MONGI SLIM",7100,LE KEF,LE KEF,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,باجة,LE KEF EST (Salah El Bahri),الكاف الشرقية (صلاح البحري),LE KEF EST,36.1817,8.71
MONIQUE JACQUELINE BEN  FREDJ,BEN  FREDJ,MONIQUE JACQUELINE,PHARMACIE APOTHICAIRE RUE CHEDLY KALLALA,5000,MONASTIR,MONASTIR,MEDECIN DENTISTE,CABINET DE KINESITHERAPIE,NON,توزر,MONASTIR (Monastir),المنستير (المنستير),MONASTIR,35.7644,10.8
NISSAF B SABBAH,B SABBAH,NISSAF,Immeuble Mtar Avenue Mohamed Ali Hammi 1er Etage Bureau N°3,8090,KELIBIA OUEST,NABEUL,PHYSIOTHERAPIE,MINISTERE DE L'INTERIEUR,NON,جندوبة,KELIBIA (Cite Afh),قليبية (حي الوكالة العقارية للسكنى),KELIBIA,36.8472,11.0944
MYRVAT DHAII,DHAII,MYRVAT,CENTRE  MEDICAL  AL  BASSATINE  CITE  JARDINS  ETG  4  N42,3000,SFAX B DIWAN,SFAX,UROLOGIE,CABINET MEDICAL INDIVIDUEL,NON,القيروان,SFAX VILLE (Ain Charfi),صفاقس المدينة (عين الشرفي),SFAX VILLE,34.7406,10.76
MOHAMED RACHED SAKLI,SAKLI,MOHAMED RACHED,1 rue 4850 1 er etage,1095,SIDI HASSINE,TUNIS,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,تطاوين,SIDI HASSINE (Birine),سيدي حسين (بيرين),SIDI HASSINE,36.7833,10.0667
MOHAMED GHASSEN ABDELAZIZ,ABDELAZIZ,MOHAMED GHASSEN,residence elward  bloc 4  appt n 2  menzeh 9b  tunis,1013,EL MENZAH 9,TUNIS,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,القصرين,EL MENZAH (El Menzah 9),المنزه (المنزه 9),EL MENZAH,36.8528,10.1703
HAJLAOUI SMIRI AMARA,AMARA,HAJLAOUI SMIRI,Complexe Avicenne Av. 7 Novembre,4116,DJERBA MIDOUN,MEDENINE,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,أريانة,MIDOUN (Aghir),ميدون (أغير),MIDOUN,33.8042,10.9725
NOUR BEN NAJAH,BEN NAJAH,NOUR,RTE MENZEL CHAKER KM 3.5 RUELLE TOUTA,3000,SFAX B DIWAN,SFAX,GYNECOLOGIE-OBSTETRIQUE,CABINET MEDICAL INDIVIDUEL,NON,توزر,SFAX VILLE (Ain Charfi),صفاقس المدينة (عين الشرفي),SFAX VILLE,34.7406,10.76
SLIMANE KARIM KOUBAJI,KOUBAJI,SLIMANE KARIM,IMM. LE CAMPUS RUE HABIB CHATI EL MANAR I,2092," EL MANAR (I, II, III)",TUNIS,MEDECIN DENTISTE,CABINET DE CHIRURGIE DENTAIRE,NON,سيدي بوزيد,EL MENZAH (Cite Des Medecins),المنزه (حي الأطباء),EL MENZAH,36.8528,10.1703
ABDENAEM GHAHBICHE,GHAHBICHE,ABDENAEM,17 RUE IBN KHALDOUN,1000,TUNIS RP (VILLE),TUNIS,PHARMACIEN D'OFFICINE DE JOUR,CABINET DE CHIRURGIE DENTAIRE,NON,زغوان,BAB BHAR (Bab Bhar),باب بحر (باب بحر),BAB BHAR,36.7981,10.1803
BOUTHAYNA GUENAIEN,GUENAIEN,BOUTHAYNA,AV TAIEB MHERI,5140,SOUASSI,MAHDIA,MEDECINE GENERALE,CABINET MEDICAL DE GROUPE,NON,القيروان,SOUASSI (Cite 9 Avril),السواسي (حي 9 أفريل),SOUASSI,35.3369,10.4908
MOHAMED AMINE BEN GHANEM,BEN GHANEM,MOHAMED AMINE,AVENNUE HABIB BOURGUIBA  MDHILLA,2170,JEBEL M'DHILA,GAFSA,PHARMACIEN : BACTERIOLOGIE & MICROBIOLOGIE,LABORATOIRE D'ANALYSES,NON,بنزرت,EL MDHILLA (Cite Des Jeunes),المظيلة (حي الشباب),EL MDHILLA,34.3,9.0
MANARES ZENATI,ZENATI,MANARES,AV EL MEDINA EL MOUNAWARA,7016,EL ALIA,BIZERTE,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,باجة,EL ALIA (Cite Independance),العالية (حي الاستقلال),EL ALIA,37.1715,10.0382
KHANSA AYACHE,AYACHE,KHANSA,AV DE LA TERRE IMM INES APP5 CENTRE URBAIN NORD,1082,CITE MAHRAJENE,TUNIS,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,القصرين,EL MENZAH (Cite Caravelles),المنزه (حي كارافال),EL MENZAH,36.8528,10.1703
ALI EP GHANNEY,EP GHANNEY,ALI,"""RESIDENCE DIDON"" 3ème ETAGE APP. N°13 JARDINS EL MENZAH I",2094,MENIHLA,ARIANA,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,قفصة,MNIHLA (Cite Ali Bourguiba),منيهلة (حي علي بورقيبة),MNIHLA,36.8648,10.1021
MOHAMED LASSAAD BELKHODJA,BELKHODJA,MOHAMED LASSAAD, N 84 BIS . APP B1-3 . AV. HABIB BOURGUIBA .,2080,ARIANA MEDINA,ARIANA,NEPHROLOGIE,CABINET DE CHIRURGIE DENTAIRE,NON,المهدية,ARIANA VILLE (Ariana),أريانة المدينة (أريانة),ARIANA VILLE,36.861327,10.19168
BESSEM GHEZEL,GHEZEL,BESSEM,12 RUE 6587 CITE IBN KHALDOUN,2062,CITE IBN KHALDOUN,TUNIS,MEDECINE GENERALE,LABORATOIRE D'ANALYSES,NON,قبلي,EL OMRANE SUPERIEUR (Cite Ibn Khaldoun I),العمران الأعلى (حي إبن خلدون 1),EL OMRANE SUPERIEUR,36.8264,10.1506
HAYSSAM JEBIR,JEBIR,HAYSSAM,DREAM CENTER  ANGLE DES AV MED 5 KHEIREDDINE PACHA,1000,TUNIS RP (VILLE),TUNIS,MEDECIN DENTISTE,LABORATOIRE D'ANALYSES,NON,باجة,BAB BHAR (Bab Bhar),باب بحر (باب بحر),BAB BHAR,36.7981,10.1803
TOUMADHER DAOUSSI,DAOUSSI,TOUMADHER,AVENUE DE L ENVIRONNEMENT CITEE EL HAJJEM FACE BNA,3100,KAIROUAN,KAIROUAN,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,صفاقس,KAIROUAN SUD (Cite El Moez),القيروان الجنوبية (حي المعز),KAIROUAN SUD,35.6772,10.098
CHAOUECH ELJANI,ELJANI,CHAOUECH,CENTRE MEDICAL IBN ROCHD 3EME ETAGE CABINET NB3 2 RUE 1ER JUIN,2033,MEGRINE,BEN AROUS,MEDECINE GENERALE,CABINET DE KINESITHERAPIE,NON,سليانة,MEGRINE (Megrine),مقرين (مقرين),MEGRINE,36.7836,10.232
MOUIN HAMROIUN,HAMROIUN,MOUIN,RESIDENSE ERRAHMA BLOC D MANAR 1,2092," EL MANAR (I, II, III)",TUNIS,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,قفصة,EL MENZAH (Cite Des Medecins),المنزه (حي الأطباء),EL MENZAH,36.8528,10.1703
BEN ABDALLAH ESSABAH,ESSABAH,BEN ABDALLAH,"AV LEOPOLD SEINGHOR - IMM EL WIFEK ""A"" - APP 52A - 5EME ETAGE",4000,SOUSSE MEDINA,SOUSSE,MEDECIN DENTISTE,OFFICINE DE NUIT,NON,تطاوين,SOUSSE VILLE (Cite Boukhzar),سوسة المدينة (حي بوخزر),SOUSSE VILLE,35.8269,10.63
RAWIA ARRAB,ARRAB,RAWIA,93  RUE    SABRA  ET  CHATILA,2052,CITE EZZOUHOUR,TUNIS,PHARMACIEN D'OFFICINE DE JOUR,OFFICINE DE JOUR,NON,سيدي بوزيد,EL HRAIRIA (Cite Bouzaiene),الحرايرية (حي بوزيان),EL HRAIRIA,36.7833,10.1
BEN BOUBAKER TEZEGHDENTI,TEZEGHDENTI,BEN BOUBAKER,Avenue Principale Zouaouine,7024,ZOUAOUINE,BIZERTE,PHARMACIEN D'OFFICINE DE JOUR,OFFICINE DE JOUR,NON,باجة,GHAR EL MELH (Zouaouine),غار الملح (الزواوين),GHAR EL MELH,37.1458,10.1752
YOUSSER BEN SMAIL,BEN SMAIL,YOUSSER,RESIDENCE ZARROUK - BLOC D APT 5,2042,CITE ETTAHRIR,TUNIS,MEDECINE GENERALE,APC,APC,مدنين,ETTAHRIR (Cite Du Jardin),التحرير (حي الحديقة),ETTAHRIR,36.8344,10.1431
SOUKAINA RAKAM,RAKAM,SOUKAINA,9 RUE  MALTE EL MOUROUJ4,2074,EL MOUROUJ I,BEN AROUS,MEDECIN DENTISTE,CENTRE MEDICO-SOCIAL DES COMMINICATIONS,NON,جندوبة,EL MOUROUJ (Cite El Bochra),المروج (حي البشرى),EL MOUROUJ,36.7405,10.2042
SLAH-EDDINE ZGUEM,ZGUEM,SLAH-EDDINE,AVE 14 JANVIER,4081,ZAOUIET SOUSSE,SOUSSE,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,القيروان,SOUSSE RIADH (Zaouiet Sousse),سوسة الرياض (زاوية سوسة),SOUSSE RIADH,35.8269,10.63
ANOUAR CHAFIK EL KARA,EL KARA,ANOUAR CHAFIK,22 RUE ALI BEN GHDHAHOM AIN SALEM,6000,GABES VILLE,GABES,PNEUMO-PHTISIOLOGIE,CABINET MEDICAL INDIVIDUEL,NON,قبلي,GABES MEDINA (Cite Ben Kilani),قابس المدينة (حي بن كيلاني),GABES MEDINA,33.8815,10.0982
MOUSSADEK MANI,MANI,MOUSSADEK,58 AVENUE HABIB BOURGUIBA,5115,EL BRADAA,MAHDIA,MEDECINE GENERALE,CABINET DE KINESITHERAPIE,NON,جندوبة,KSOUR ESSAF (El Bradaa),قصور الساف (البرادعة),KSOUR ESSAF,35.435,10.9883
SAMYA DRISSA,DRISSA,SAMYA,166 av habib bourguiba nabeul,8000,NABEUL,NABEUL,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,بن عروس,NABEUL (Ain Kemicha),نابل (عين كميشة),NABEUL,36.4561,10.7358
HEND RYM LIOUANE,LIOUANE,HEND RYM,LA MUTUELLE DES POSTES ET DES TELECOMS,6100,SILIANA,SILIANA,PHYSIOTHERAPIE,OFFICINE DE JOUR,NON,تطاوين,SILIANA NORD (Cite Cnrps),سليانة الشمالية (حي الصندوق الوطني للتقاعد والحيطة الإجتماعية),SILIANA NORD,36.0833,9.3667
MARWENE BDIRA,BDIRA,MARWENE,6 BIS RUE EL BASATINE CITE ESSAADA,1110,MORNAGUIA,MANOUBA,MEDECINE GENERALE,CABINET DE CHIRURGIE DENTAIRE,NON,سوسة,MORNAGUIA (Bou Regba),المرناقية (بو رقبة),MORNAGUIA,36.7833,9.95
SABEH DONIA ABDELKHALEK,ABDELKHALEK,SABEH DONIA,AVENUE HABIB BOURGUIBA,4040,SIDI BOU ALI,SOUSSE,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,جندوبة,SIDI BOU ALI (Cite El Bassatine),سيدي بوعلي (حي البساتين),SIDI BOU ALI,35.9833,10.4667
MAIHANA HOUISSA,HOUISSA,MAIHANA,13 RUE ABOU ABDALLAH ESSOUFFI  CITE ETTAHRIR 2042,2042,CITE ETTAHRIR,TUNIS,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,القيروان,ETTAHRIR (Cite Du Jardin),التحرير (حي الحديقة),ETTAHRIR,36.8344,10.1431
Amatallah BAMBIA,BAMBIA,Amatallah,"35, RUE ALJAZIRA 1ER ETAGE B3",1000,TUNIS RP (VILLE),TUNIS,MEDECINE CARCINOLOGIQUE,CABINET MEDICAL INDIVIDUEL,NON,تونس,BAB BHAR (Bab Bhar),باب بحر (باب بحر),BAB BHAR,36.7981,10.1803
HANEN ILOUENE,ILOUENE,HANEN,RUE ESSANAWBER CITE BEN DHIA,2090,MORNAG,BEN AROUS,CHIRURGIE GENERALE,CABINET DE KINESITHERAPIE,NON,الكاف,MORNAG (Ahmed Zaied),مرناق (أحمد زايد),MORNAG,36.6783,10.275
KHARRAT TANBOURA,TANBOURA,KHARRAT,"AVENUE MONGI SLIM , COMPLEXE MAGASIN GENERAL BUREAU N°5",7100,LE KEF,LE KEF,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,نابل,LE KEF EST (Salah El Bahri),الكاف الشرقية (صلاح البحري),LE KEF EST,36.1817,8.71
ARAFAT HCHICHA,HCHICHA,ARAFAT,7 RUE  6477 AVENUE HABIB BOUGATFA,2000,BARDO,TUNIS,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,باجة,EL OMRANE (Ras Tabia),العمران (رأس الطابية),EL OMRANE,36.8167,10.1667
ABDERRAOUF BEN MEDDEB,BEN MEDDEB,ABDERRAOUF,AVENUE HABIB BOURGUIBA IMM. SLIM CENTRE ETAGE 2 APP. 204,9100,SIDI BOUZID,SIDI BOUZID,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,القيروان,SIDI BOUZID EST (Dhraa),سيدي بوزيد الشرقية (الذراع),SIDI BOUZID EST,35.0372,9.4853
MOHAMED HICHEM MRAD,MRAD,MOHAMED HICHEM,AV MAJIDA BOULILA,3027,SFAX JADIDA,SFAX,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,القصرين,SFAX VILLE (Sfax El Jadida),صفاقس المدينة (صفاقس الجديدة),SFAX VILLE,34.7406,10.76
ALLAME LAAOUANI,LAAOUANI,ALLAME,residence le palace  bloc b  4eme etage appt b4 .7 1003  centre urbain nord,1003,CITE EL KHADRA,TUNIS,RADIOLOGIE (DIAGNOSTIC),OFFICINE DE NUIT,NON,نابل,CITE EL KHADRA (Cite El Khadra),حي الخضراء (حي الخضراء),CITE EL KHADRA,36.8319,10.1942
NASSIMA SKANDER,SKANDER,NASSIMA,BARDO CENTER AVENUE HABIB THAMEUR APPT 6,2000,BARDO,TUNIS,DERMATOLOGIE,OFFICINE DE JOUR,NON,بن عروس,EL OMRANE (Ras Tabia),العمران (رأس الطابية),EL OMRANE,36.8167,10.1667
REJEB KHEMISSI,KHEMISSI,REJEB,N° 66 AV. HABIB BOURGUIBA,6020,EL HAMMA DE GABES,GABES,BIOLOGIE CLINIQUE,CABINET MEDICAL INDIVIDUEL,NON,قفصة,EL HAMMA (El Hamma),الحامة (الحامة),EL HAMMA,33.888,9.795
MOHAMED IHSSEN BEN ELKADHI,BEN ELKADHI,MOHAMED IHSSEN,2 RUE DE LA TERRE . SIDI AMOR . RAOUED .,2056,RAOUED,ARIANA,OPHTALMOLOGIE,CABINET MEDICAL INDIVIDUEL,NON,توزر,RAOUED (Cite 7 Novembre),رواد (حي 7 نوفمبر),RAOUED,36.915,10.18
AHMED RIDHA BAKHROUF,BAKHROUF,AHMED RIDHA,AV DE LA LIBERTE JELMA   SIDIBOUZID,9110,JILMA,SIDI BOUZID,MEDECINE GENERALE,CABINET DE KINESITHERAPIE,NON,باجة,JILMA (Ain Jaffel),جلمة (عين جفال),JILMA,35.2781,9.4183
ATKA SAAFI,SAAFI,ATKA,3 RUE 8010 AZVENUE MED 5,1002,TUNIS BELVEDERE,TUNIS,PHYSIOTHERAPIE,OFFICINE DE JOUR,NON,بن عروس,BAB BHAR (Hedi Chaker),باب بحر (الهادي شاكر),BAB BHAR,36.7981,10.1803
NOURHENE HACHEFI,HACHEFI,NOURHENE,"""IMMEUBLE LE PALACE""BLOC A 2ème ETAGE BUREAU A.2.3 CENTRE URBAIN NORD",1003,CITE EL KHADRA,TUNIS,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,توزر,CITE EL KHADRA (Cite El Khadra),حي الخضراء (حي الخضراء),CITE EL KHADRA,36.8319,10.1942
ATEF SADOK ELLOUZE,ELLOUZE,ATEF SADOK,ENVIRONNEMENT APP 2/4,2097,BOU M'HEL,BEN AROUS,RADIOLOGIE (DIAGNOSTIC),CABINET MEDICAL INDIVIDUEL,NON,تونس,BOU MHEL EL BASSATINE (Residence Sarra),بومهل البساتين (إقامة سارة),BOU MHEL EL BASSATINE,36.7463,10.2741
NEJIA KOOLI,KOOLI,NEJIA,"""POLE MEDICAL""40 AVENUE MOHIEDDINE KLIBI  EL MANAR II",2092," EL MANAR (I, II, III)",TUNIS,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,باجة,EL MENZAH (Cite Des Medecins),المنزه (حي الأطباء),EL MENZAH,36.8528,10.1703
MOHAMED HENI B.SALAH,B.SALAH,MOHAMED HENI,ESC 16 IMM LES GALERIES,3027,SFAX JADIDA,SFAX,MEDECINE DE FAMILLE,CABINET MEDICAL INDIVIDUEL,NON,باجة,SFAX VILLE (Sfax El Jadida),صفاقس المدينة (صفاقس الجديدة),SFAX VILLE,34.7406,10.76
YAZID BEN JALILA,BEN JALILA,YAZID,HOPITAL HABIB BOURGUIBA SFAX,3027,SFAX JADIDA,SFAX,CHIRURGIE ORTHOPEDIQUE,CABINET MEDICAL INDIVIDUEL,NON,قبلي,SFAX VILLE (Sfax El Jadida),صفاقس المدينة (صفاقس الجديدة),SFAX VILLE,34.7406,10.76
JAMEL ABDENNACEUR LAATAR,LAATAR,JAMEL ABDENNACEUR,R6 N246 PRES MOSQUEE ENNOUR,5000,MONASTIR,MONASTIR,RADIOLOGIE (DIAGNOSTIC),CABINET DE KINESITHERAPIE,NON,تطاوين,MONASTIR (Monastir),المنستير (المنستير),MONASTIR,35.7644,10.8
SADOK OMAR MAATOUGUI,MAATOUGUI,SADOK OMAR,RESIDENCE JARDINS 1er ETAGE APPT 3 RUE DU LAC DE CONSTANCE,1053,LES BERGES DU LAC,TUNIS,CHIRURGIE ORTHOPEDIQUE,OFFICINE DE JOUR,NON,المهدية,LA MARSA (Berge Du Lac),المرسى (ضفاف البحيرة),LA MARSA,36.8775,10.3275
SADDEM BOUKTIF,BOUKTIF,SADDEM,OULED BOUSMIR KM 45 DJEBINIANA,3056,OULED BOUSMIR,SFAX,OPHTALMOLOGIE,CABINET MEDICAL INDIVIDUEL,NON,جندوبة,JEBENIANA (Ouled Bousmir),جبنيانة (أولاد بوسمير),JEBENIANA,35.0333,10.9
FETHI MOUNIR MENCHAOUI,MENCHAOUI,FETHI MOUNIR,Borj Jabari Imm .Dahmeni 2éme Etage Appt 1 Hafr Mhor,7000,BIZERTE,BIZERTE,MEDECINE GENERALE,CABINET DE KINESITHERAPIE,NON,المهدية,BIZERTE NORD (Bizerte),بنزرت الشمالية (بنزرت),BIZERTE NORD,37.2744,9.8739
ABDELFETTEH B YOUSSEF,B YOUSSEF,ABDELFETTEH,AVENUE 7 NOVEMBRE ESCALIER  C  IMM IBN KHALDOUN,3027,SFAX JADIDA,SFAX,MEDECINE GENERALE,CABINET DE KINESITHERAPIE,NON,زغوان,SFAX VILLE (Sfax El Jadida),صفاقس المدينة (صفاقس الجديدة),SFAX VILLE,34.7406,10.76
MARWEN AYDI,AYDI,MARWEN,03 rue d'Egypte appt 10 la fayette,1002,TUNIS BELVEDERE,TUNIS,GASTRO-ENTEROLOGIE,CABINET MEDICAL INDIVIDUEL,NON,زغوان,BAB BHAR (Hedi Chaker),باب بحر (الهادي شاكر),BAB BHAR,36.7981,10.1803
GHAZOUANI ZENAIDI,ZENAIDI,GHAZOUANI,AVENUE HABIB BOURGUIBA BENI KHIAR,8060,BENI KHIAR,NABEUL,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,تونس,BENI KHIAR (Diar Ben Salem),بني خيار (ديار بن سالم),BENI KHIAR,36.45,10.7833
ABDELAALI BRAHEM,BRAHEM,ABDELAALI,PLACE 7 NOVEMBRE IMM EL JARRA,8000,NABEUL,NABEUL,CHIRURGIE CARDIO-VASCULAIRE & PERIPHERIQUE,CABINET MEDICAL INDIVIDUEL,NON,صفاقس,NABEUL (Ain Kemicha),نابل (عين كميشة),NABEUL,36.4561,10.7358
BEN SALAH BEN BOUZID,BEN BOUZID,BEN SALAH,LE KRAM MEDICAL 208 AVE HABIB BOURGUIBA 2EME ETAGE AP 3,2015,LE KRAM,TUNIS,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,القيروان,EL KRAM (Erriadh),الكرم (الرياض),EL KRAM,36.85,10.3
ABDELWAHEB CHACHIA,CHACHIA,ABDELWAHEB,HOPITAL D ENFANT,1007,TUNIS JEBBARI,TUNIS,CARDIOLOGIE,CABINET MEDICAL INDIVIDUEL,NON,بنزرت,ESSIJOUMI (El Mellassine),السيجومي (الملاسين),ESSIJOUMI,36.7833,10.15
FAICEL B SLAMA,B SLAMA,FAICEL,"AVICENNE MEDICAL 2, AVENUE TAHAR SFAR 2ème ETAGE APP. N°9 EL MANAR II",2092," EL MANAR (I, II, III)",TUNIS,MEDECINE GENERALE,OFFICINE DE JOUR,NON,تونس,EL MENZAH (Cite Des Medecins),المنزه (حي الأطباء),EL MENZAH,36.8528,10.1703
FAHMI KERKENI,KERKENI,FAHMI,21 Rue Slah Eddine Bouchoucha,1140,EL FAHS,ZAGHOUAN,ANESTHESIE & ANESTHESIE REANIMATION,CABINET MEDICAL INDIVIDUEL,NON,قبلي,EL FAHS (Bir Moukra),الفحص (بئر مقرة),EL FAHS,36.3747,9.9017
